CODMUNRES,ANO,OBITOS_PERINATAIS,OBITOS_NEONATAIS,OBITOS_INFANTIS,OBITOS_TOTAIS
120050,2016,2,0,14,152
120050,2017,0,0,11,157
120050,2018,0,0,11,203
120050,2019,1,1,8,197
120060,2012,0,0,28,146
120060,2013,0,1,22,156
120060,2014,1,2,23,138
120060,2015,2,0,33,169
120060,2016,0,0,22,181
120060,2017,0,0,26,157
120060,2018,1,0,17,186
120060,2019,0,1,24,204
120070,2012,0,0,4,84
120070,2013,0,0,4,69
120070,2014,0,0,2,74
120070,2015,0,0,4,68
120070,2016,0,0,6,89
120070,2017,0,0,1,89
120070,2018,0,0,4,73
120070,2019,0,0,4,98
120080,2012,0,0,6,62
120080,2013,0,0,5,69
120080,2014,0,0,11,68
120080,2015,0,1,4,67
120080,2016,0,0,3,85
120080,2017,0,0,4,85
120080,2018,0,0,7,73
120080,2019,0,0,3,85
130000,2014,0,0,1,41
130000,2019,0,0,1,6
130002,2012,0,0,5,25
130002,2013,1,2,4,35
130002,2014,0,0,5,38
130002,2015,0,1,4,36
130002,2016,0,0,9,42
130002,2017,0,0,9,42
130002,2018,0,0,14,52
130002,2019,0,0,7,52
130006,2012,1,0,4,24
130006,2013,0,0,7,28
130006,2014,0,0,12,41
130006,2015,0,0,9,36
130006,2016,0,0,4,28
130006,2017,0,0,5,42
130006,2018,0,0,6,26
130006,2019,0,0,5,28
130008,2012,1,0,1,32
130008,2013,0,0,5,30
130008,2015,0,0,2,26
130008,2016,0,0,4,31
130008,2017,0,0,2,29
130008,2018,0,0,3,19
130008,2019,0,0,3,35
130010,2012,0,1,2,50
130010,2013,0,0,6,49
130010,2014,0,0,4,44
130010,2015,0,1,2,60
130010,2016,0,0,4,42
130010,2017,0,0,5,51
130010,2018,1,0,6,51
130010,2019,0,0,5,44
130014,2012,0,2,4,54
130014,2013,0,1,3,54
130014,2014,0,0,4,62
130014,2015,0,0,4,48
130014,2016,0,0,3,60
130014,2017,1,0,1,62
130014,2018,0,0,2,66
130014,2019,0,0,5,63
130020,2012,1,0,8,46
130020,2013,0,1,15,46
130020,2014,0,0,13,56
130020,2015,0,0,16,52
130020,2016,0,0,9,39
130020,2017,0,0,12,56
130020,2018,0,1,10,41
130020,2019,0,0,10,58
130030,2012,1,0,11,105
130030,2013,0,0,10,117
130030,2014,0,0,10,125
130030,2015,1,0,8,146
130030,2016,1,1,6,139
130030,2017,1,0,13,143
130030,2018,0,0,10,145
130030,2019,0,1,4,135
130040,2012,19,12,12,90
130040,2013,0,24,10,80
130040,2014,1,0,10,57
130040,2015,1,0,29,84
130040,2016,0,0,33,110
130040,2017,0,0,39,112
130040,2018,0,0,24,99
130040,2019,0,0,18,62
130050,2012,0,0,8,84
130050,2013,1,1,11,115
130050,2014,1,2,18,140
130050,2015,0,1,8,101
130050,2016,0,1,15,102
130050,2017,0,0,13,121
