CODMUNRES,ANO,AVG_PM25,MIN_PM25,MAX_PM25,BAIXO_PESO,TOTAL,OBITOS_PERINATAIS,OBITOS_NEONATAIS,OBITOS_INFANTIS,OBITOS_TOTAIS,IDH
110015,2019,17.707808207863405,0.0,199.3000030517578,33,614,0,0,9,242,0.682
110018,2012,12.390280650040003,0.0,122.5999984741211,24,542,0,1,8,174,0.71
110018,2013,10.771821311976492,0.0,93.0,27,570,1,0,11,179,0.71
110018,2014,13.27292664848508,0.0,112.0,27,582,0,0,14,161,0.71
110018,2015,19.61502050703445,0.0,790.2999877929688,29,583,0,0,10,187,0.71
110018,2016,14.923832419625187,0.0,165.3000030517578,37,595,0,1,5,209,0.71
110018,2017,16.84708705665499,0.0,215.89999389648438,35,598,0,0,9,194,0.71
110018,2018,16.96771982410452,0.0,197.1999969482422,32,643,0,0,8,215,0.71
110018,2019,16.905205526641787,0.0,97.0,28,611,0,1,7,217,0.71
110020,2012,25.73036936519186,0.0,493.70001220703125,538,8739,0,1,127,2233,0.736
110020,2013,14.190521992313174,0.0,247.8000030517578,532,8746,1,0,123,2118,0.736
110020,2014,23.695342517603343,0.0,1327.300048828125,554,8952,0,0,121,2187,0.736
110020,2015,41.037534288429235,0.0,1671.0999755859375,577,8886,1,2,118,2271,0.736
110020,2016,29.0548255056255,0.0,730.7999877929688,572,8433,1,5,128,2398,0.736
110020,2017,31.810342490887397,0.0,701.7000122070312,538,8662,1,2,118,2296,0.736
110020,2018,33.68956040062911,0.0,748.7999877929688,547,8552,0,2,105,2220,0.736
110020,2019,24.73780827189553,0.20000000298023224,400.70001220703125,575,8208,0,1,109,2217,0.736
110025,2012,12.022571834775068,0.0,102.30000305175781,12,238,0,0,3,108,0.664
110025,2013,10.122229872354744,0.0,56.0,12,249,0,1,4,111,0.664
110025,2014,12.955448942689188,0.0,106.30000305175781,7,283,0,0,2,114,0.664
110025,2015,16.629012343109636,0.0,137.3000030517578,19,257,0,0,5,126,0.664
110025,2016,14.23767217386709,0.0,228.39999389648438,14,269,0,0,5,125,0.664
110025,2017,16.77020550239576,0.0,234.60000610351562,22,276,0,0,11,149,0.664
110025,2018,16.535350787651915,0.0,187.6999969482422,22,293,0,0,3,113,0.664
110025,2019,16.993424660916606,0.0,122.5,28,302,1,0,2,111,0.664
110026,2012,23.068694460538666,0.0,403.29998779296875,3,41,,,,,0.643
110026,2013,13.400000022151149,0.0,268.70001220703125,1,38,,,,,0.643
110026,2014,21.020890417123493,0.0,470.20001220703125,2,34,,,,,0.643
110026,2015,33.9801370496313,0.0,1151.9000244140625,4,36,,,,,0.643
110026,2016,25.04962359111779,0.0,1386.800048828125,1,35,0,0,1,21,0.643
110026,2017,34.008904128144046,0.0,1086.800048828125,1,49,,,,,0.643
110026,2018,29.364972496313136,0.0,1444.0,3,46,,,,,0.643
110026,2019,22.77383564884124,0.0,262.1000061035156,7,48,0,0,1,12,0.643
110028,2012,12.155882349484964,0.0,117.5,69,902,0,0,11,254,0.7
110028,2013,10.116506192720452,0.0,55.20000076293945,48,869,0,0,10,255,0.7
110028,2014,12.979657543664926,0.0,126.0999984741211,40,934,0,0,11,281,0.7
110028,2015,16.967215373912833,0.0,234.8000030517578,48,924,0,0,23,281,0.7
110028,2016,14.680576542467799,0.0,344.70001220703125,59,845,0,1,8,292,0.7
110028,2017,16.02664379836762,0.0,213.1999969482422,46,950,0,0,5,263,0.7
110028,2018,15.723246218464972,0.0,110.5999984741211,51,880,0,1,11,265,0.7
110028,2019,16.274897130724906,0.0,130.6999969482422,38,896,0,0,8,317,0.7
110029,2012,12.066894687931327,0.0,98.30000305175781,3,118,,,,,0.67
110029,2013,10.130811552561953,0.0,63.099998474121094,6,97,0,0,1,51,0.67
110029,2014,12.789452063807682,0.0,100.69999694824219,0,101,0,0,2,47,0.67
110029,2015,16.965706459196753,0.0,247.5,8,107,,,,,0.67
110029,2016,14.647014389861587,0.0,247.0,6,110,0,0,1,41,0.67
110029,2017,15.9912328967697,0.0,204.60000610351562,8,111,0,0,1,41,0.67
110029,2018,15.986519921617134,0.0,472.79998779296875,5,103,0,0,1,43,0.67
110029,2019,15.59231822860053,0.0,137.60000610351562,7,99,,,,,0.67
110030,2012,17.436046473264042,0.0,672.7000122070312,79,1228,0,0,22,417,0.731
110030,2013,13.006936819727564,0.0,746.2999877929688,82,1374,0,1,16,406,0.731
110030,2014,16.013022625278822,0.0,457.70001220703125,87,1402,0,1,18,409,0.731
110030,2015,23.927758763129987,0.0,474.70001220703125,95,1503,1,1,17,437,0.731
110030,2016,18.374829018465594,0.0,348.0,99,1404,1,1,18,448,0.731
110030,2017,17.72438354890232,0.0,253.39999389648438,79,1427,0,0,22,441,0.731
110030,2018,23.371016404100253,0.0,1741.199951171875,87,1526,0,1,15,517,0.731
110030,2019,16.018518531304082,0.0,217.60000610351562,103,1549,0,0,14,476,0.731
110032,2012,12.068561631905501,0.0,96.0,14,309,1,0,5,81,0.646
110032,2013,10.383390782641017,0.0,116.0,15,348,0,0,2,97,0.646
110032,2014,12.47964358933888,0.0,95.0,15,354,0,0,4,106,0.646
110032,2015,18.122702350428607,0.0,300.20001220703125,15,305,0,0,4,104,0.646
110032,2016,15.785233510407405,0.0,173.6999969482422,19,335,0,0,4,106,0.646
