populacao,municipio
7503,2406304
2731,2406403
15477,2406502
8192,2406601
11208,2406700
4755,2406809
3966,2406908
10086,2407005
79743,2407104
31584,2407203
3978,2407252
8358,2407302
8692,2407401
12194,2407500
4568,2407609
11295,2407708
22239,2407807
2127,2407906
294076,2408003
877640,2408102
27260,2408201
37233,2408300
4272,2408409
4812,2408508
4232,2408607
3787,2408706
5201,2408805
21408,2408904
10789,2408953
13076,2409100
3075,2409209
12701,2409308
5480,2409332
30183,2409407
3275,2409506
2478,2409605
6780,2409704
14767,2409803
14984,2409902
3806,2410009
15294,2410108
7827,2410207
6765,2410256
10266,2410306
9516,2410405
5067,2410504
3194,2410603
3543,2410702
4209,2410801
8034,2410900
4472,2411007
4071,2411056
3608,2411106
39355,2411205
12954,2411403
2670,2411429
23988,2411502
2778,2411601
4401,2411700
3573,2411809
4200,2411908
101102 ,2412005
6179,2412104
43640,2412203
12833,2412302
4602,2412401
23380,2412500
9531,2412559
17436,2412609
6014,2412708
8212,2412807
11057,2412906
6397,2413003
6044,2413102
4395,2413201
5774,2413300
11790,2413359
8065,2413409
6281,2413508
4784,2413557
2799,2413607
5481,2413706
2545,2413805
12261,2413904
15581,2414001
10715,2414100
5883,2414159
13916,2414209
2407,2414308
33734,2414407
3259,2414456
10591,2414506
14516,2414605
5485,2414704
4149,2414753
12323,2414803
1712,2414902
3146,2415008
10161,2500106
5571,2500205
28623,2500304
20589,2500403
14367,2500502
5473,2500536
2488,2500577
19391,2500601
17941,2500700
2227,2500734
8337,2500775
17079,2500809
13438,2500908
20215,2501005
22978,2501104
2140,2501153
6935,2501203
19190,2501302
3870,2501351
8933,2501401
21210,2501500
4831,2501534
8249,2501575
15268,2501609
5939,2501708
96550,2501807
17640,2501906
7335,2502003
3393,2502052
5423,2502102
6972,2502151
2547,2502201
4994,2502300
11797,2502409
17751,2502508
6186,2502607
5395,2502706
13993,2502805
6433,2502904
21698,2503001
5503,2503100
66680,2503209
10182,2503308
3729,2503407
17159,2503506
7145,2503555
7292,2503605
61776,2503704
3181,2503753
5982,2503803
5994,2503902
407472,2504009
6424,2504033
4140,2504074
2631,2504108
7431,2504157
4929,2504207
30343,2504306
4807,2504355
18904,2504405
6649,2504504
24323,2504603
4785,2504702
15423,2504801
1907,2504850
17366,2504900
7763,2505006
20343,2505105
6823,2505204
6349,2505238
5242,2505279
2521,2505303
5289,2505352
8279,2505402
3773,2505501
6575,2505600
10429,2505709
3610,2505808
3505,2505907
33003,2506004
11355,2506103
2990,2506202
8448,2506251
58492,2506301
14131,2506400
3403,2506509
5956,2506608
11790,2506707
18101,2506806
24537,2506905
24653,2507002
18501,2507101
10801,2507200
14349,2507309
7732,2507408
800323,2507507
7896,2507606
18041,2507705
7104,2507804
10717,2507903
9886,2508000
4679,2508109
7643,2508208
27385,2508307
2749,2508406
7371 ,2508505
4294,2508554
12944,2508604
4020,2508703
5766,2508802
44657,2508901
11092,2509008
8460,2509057
21808,2509107
6565,2509156
13742,2509206
8327,2509305
4516,2509339
2889,2509370
6506,2509396
13308,2509404
5598,2509503
4789,2509602
33007,2509701
9878,2509800
10458,2509909
7312,2510006
10651,2510105
5978,2510204
4840,2510303
6592,2510402
3912,2510501
3033,2510600
1786,2510659
2402,2510709
106984,2510808
12260,2510907
3800,2511004
7766,2511103
28389,2511202
16038,2511301
18706,2511400
11855,2511509
6680,2511608
5105,2511707
10572,2511806
18904,2511905
18429,2512002
3777,2512036
4276,2512077
32749,2512101
4141,2512200
23215,2512309
13630,2512408
43917,2512507
1929,2512606
19340,2512705
6064,2512721
3564,2512747
4500,2512754
4477,2512762
1951,2512788
8587,2512804
24088,2512903
3919,2513000
12149,2513109
6574,2513158
6585,2513208
5907,2513307
3597,2513356
15336,2513406
5198,2513505
7077,2513604
2685,2513653
135807,2513703
4585,2513802
2532,2513851
33796,2513901
4492,2513927
2581,2513943
3087,2513968
3371,2513984
4313,2514008
4430,2514107
7680,2514206
6255,2514305
4665,2514404
5915,2514453
20053,2514503
3908,2514552
3526,2514602
1791,2514651
4134,2514701
3723,2514800
7745,2514909
7124,2515005
11753,2515104
3466,2515203
52443,2515302
10728,2515401
13630,2515500
3141,2515609
3089,2515708
7041,2515807
6131,2515906
4958,2515930
7751,2515971
26592,2516003
14837,2516102
3516,2516151
69161,2516201
16864,2516300
10887,2516409
15185 ,2516508
14614,2516607
15072,2516706
3035,2516755
9466,2516805
15300,2516904
9902,2517001
2779,2517100
5323,2517209
2225,2517407
99622,2600054
37111,2600104
19456,2600203
24702,2600302
36454,2600401
43195,2600500
14554,2600609
38375,2600708
22959,2600807
22788,2600906
11072,2601003
20312,2601052
83964,2601102
73844,2601201
14257,2601300
42552,2601409
12023,2601508
20728,2601607
76185,2601706
12671,2601805
60714,2601904
37909,2602001
48336,2602100
39132,2602209
38152,2602308
8999,2602407
7486,2602506
50249,2602605
13119,2602704
57825,2602803
205112,2602902
33934,2603009
20258,2603108
28570,2603207
11089,2603306
5753,2603405
156736,2603454
18627,2603504
8530,2603603
24835,2603702
20048,2603801
19491,2603900
12836,2603926
82872,2604007
356872,2604106
14313,2604155
42434,2604205
11722,2604304
13428,2604403
21579,2604502
26249,2604601
18144,2604700
12596,2604809
11635,2604908
24041,2605004
36841,2605103
18734,2605152
68448,2605202
31885,2605301
22013,2605400
3021,2605459
14365,2605509
22631,2605608
32556,2605707
15366,2605806
30780,2605905
138983,2606002
30504,2606101
79455,2606200
7435,2606309
83437,2606408
19152,2606507
29055,2606606
7756,2606705
115640,2606804
12209,2606903
22840,2607000
4554,2607109
94709,2607208
30512,2607307
4869,2607406
26390,2607505
25836,2607604
36422,2607653
13680,2607703
26397,2607752
16903,2607802
697636,2607901
11668,2607950
17070,2608008
14740,2608057
33563,2608107
16036,2608206
11361,2608255
14747,2608305
15323,2608404
17886,2608453
21397,2608503
13065,2608602
16262,2608701
25349,2608750
39982,2608800
56302,2608909
25278,2609006
15851,2609105
21085,2609154
11473,2609204
15308,2609303
62263,2609402
32366,2609501
391835,2609600
23833,2609709
14827,2609808
68939,2609907
62994,2610004
7789,2610103
26492,2610202
11478,2610301
21914,2610400
28972,2610509
56074,2610608
329117,2610707
22566,2610806
67047,2610905
36187,2611002
343865,2611101
11299,2611200
27033,2611309
14831,2611408
25896,2611507
6822,2611533
1637834,2611606
20443,2611705
47209,2611804
23440,2611903
10103,2612000
10768,2612109
60604,2612208
15823,2612307
26026,2612406
15236,2612455
12531,2612471
105936,2612505
14390,2612554
41759,2612604
14048,2612703
11764,2612802
15717,2612901
58956,2613008
37119,2613107
22686,2613206
21314,2613305
21004,2613404
33895,2613503
33789,2613602
112362,2613701
17950,2613800
85774,2613909
19133,2614006
35761,2614105
45359,2614204
11270,2614303
5993,2614402
64520,2614501
28371,2614600
12890,2614709
25417,2614808
23149,2614857
28416,2615003
7139,2615102
9983,2615201
50956,2615300
44254,2615409
13724,2615508
30222,2615607
15265,2615706
27052,2615805
8192,2615904
18298,2616001
9514,2616100
7666,2616183
20503,2616209
32513,2616308
137915,2616407
14691,2616506
20162,2700102
17564,2700201
230417,2700300
47000,2700409
15792,2700508
8264,2700607
18455,2700706
4406,2700805
6696,2700904
27168,2701001
10529,2701100
10730,2701209
21194,2701308
6918,2701357
56579,2701407
9549,2701506
17726,2701605
17124,2701704
9000,2701803
7319,2701902
10744,2702009
21575,2702108
5826,2702207
56562,2702306
24129,2702355
51763,2702405
11054,2702504
18153,2702553
22152,2702603
4729,2702702
12773,2702801
40588,2702900
15606,2703007
25649,2703106
24408,2703205
18378,2703304
5288,2703403
7036,2703502
8317,2703601
5597,2703700
11624,2703759
23903,2703809
4175,2703908
24731,2704005
17934,2704104
28495,2704203
1012382,2704302
19891,2704401
32369,2704500
9326,2704609
