CODMUNRES,ANO,BAIXO_PESO,TOTAL
130400,2015,10,202
130400,2016,6,208
130400,2017,9,246
130400,2018,10,191
130400,2019,10,229
130406,2012,114,1623
130406,2013,110,1600
130406,2014,110,1781
130406,2015,92,1591
130406,2016,115,1725
130406,2017,97,1680
130406,2018,103,1671
130406,2019,106,1748
130410,2012,19,392
130410,2013,31,414
130410,2014,23,388
130410,2015,20,436
130410,2016,23,380
130410,2017,29,400
130410,2018,19,392
130410,2019,23,426
130420,2012,104,1532
130420,2013,147,1697
130420,2014,108,1572
130420,2015,119,1732
130420,2016,131,1639
130420,2017,132,1751
130420,2018,118,1796
130420,2019,136,1894
130423,2012,21,344
130423,2013,17,315
130423,2014,33,360
130423,2015,34,383
130423,2016,21,361
130423,2017,20,449
130423,2018,20,433
130423,2019,24,426
130426,2012,29,281
130426,2013,10,303
130426,2014,23,295
130426,2015,24,291
130426,2016,11,256
130426,2017,20,330
130426,2018,10,279
130426,2019,19,347
130430,2012,21,296
130430,2013,12,294
130430,2014,14,282
130430,2015,10,270
130430,2016,13,263
130430,2017,14,270
130430,2018,15,251
130430,2019,25,314
130440,2012,14,315
130440,2013,10,324
130440,2014,20,325
130440,2015,16,282
130440,2016,19,296
130440,2017,12,311
130440,2018,18,308
130440,2019,23,317
140000,2012,0,2
140000,2013,0,8
140000,2014,2,7
140000,2015,0,3
140000,2016,0,1
140000,2018,0,1
140002,2012,40,305
140002,2013,29,301
140002,2014,31,291
140002,2015,37,327
140002,2016,34,329
140002,2017,40,353
140002,2018,79,429
140002,2019,73,444
140005,2012,62,584
140005,2013,67,585
140005,2014,66,534
140005,2015,97,542
140005,2016,98,608
140005,2017,59,514
140005,2018,131,733
140005,2019,131,704
140010,2012,401,6265
140010,2013,411,6265
140010,2014,418,6657
140010,2015,474,6600
140010,2016,479,6617
140010,2017,489,6922
140010,2018,571,8029
140010,2019,631,8798
140015,2012,12,308
140015,2013,22,325
140015,2014,17,318
140015,2015,24,353
140015,2016,23,363
140015,2017,22,375
140015,2018,21,391
140015,2019,34,466
140017,2012,20,311
140017,2013,32,331
140017,2014,35,360
140017,2015,29,323
